,climatemodel,ecs (k),tcr (k),name,version,config
0,ar5ir3box-CMIP6-GISS-E2-2-G_r1i1p1f1-CALIB,18.85843128,1.256192273,ar5ir,3box,CMIP6-GISS-E2-2-G_r1i1p1f1-CALIB
1,ar5ir3box-CMIP6-GISS-E2-1-G_r1i1p1f1-CALIB,18.98485114,1.317941897,ar5ir,3box,CMIP6-GISS-E2-1-G_r1i1p1f1-CALIB
2,ar5ir2box-CMIP6-NorESM2-LM_r1i1p1f1-CALIB,13.37219812,1.560337247,ar5ir,2box,CMIP6-NorESM2-LM_r1i1p1f1-CALIB
3,ar5ir3box-CMIP6-NorESM2-LM_r1i1p1f1-CALIB,12.48312513,1.571336778,ar5ir,3box,CMIP6-NorESM2-LM_r1i1p1f1-CALIB
4,ar5ir3box-CMIP6-NorCPM1_r1i1p1f1-CALIB,8.601148065,1.632359039,ar5ir,3box,CMIP6-NorCPM1_r1i1p1f1-CALIB
5,ar5ir2box-CMIP6-GISS-E2-2-G_r1i1p1f1-CALIB,3.703372282,1.655601133,ar5ir,2box,CMIP6-GISS-E2-2-G_r1i1p1f1-CALIB
6,ar5ir2box-CMIP6-NorCPM1_r1i1p1f1-CALIB,7.237663661,1.698885478,ar5ir,2box,CMIP6-NorCPM1_r1i1p1f1-CALIB
7,ar5ir2box-CMIP6-GISS-E2-1-G_r1i1p1f1-CALIB,5.238898394,1.732905055,ar5ir,2box,CMIP6-GISS-E2-1-G_r1i1p1f1-CALIB
8,ar5ir2box-CMIP6-BCC-ESM1_r1i1p1f1-CALIB,15.29825529,1.832596991,ar5ir,2box,CMIP6-BCC-ESM1_r1i1p1f1-CALIB
9,ar5ir3box-CMIP6-BCC-ESM1_r1i1p1f1-CALIB,8.056221805,1.837167166,ar5ir,3box,CMIP6-BCC-ESM1_r1i1p1f1-CALIB
10,ar5ir3box-CMIP6-MPI-ESM1-2-HR_r1i1p1f1-CALIB,6.078482923,1.845472147,ar5ir,3box,CMIP6-MPI-ESM1-2-HR_r1i1p1f1-CALIB
11,ar5ir2box-CMIP6-MPI-ESM1-2-HR_r1i1p1f1-CALIB,8.018313029,1.846439957,ar5ir,2box,CMIP6-MPI-ESM1-2-HR_r1i1p1f1-CALIB
